Review,a0,a1,a2,a3,a4,a5
"Chợ bán hải sản số 1 Quy Nhơn, tươi sống rất ngon, người bán thân thiện, nhưng mà không có chỗ giữ xe trong chợ, phải giữ bên ngoài",0,0,0,0,0,4
"Phòng view biển đẹp, nhân viên thân thiện dễ thương. Cơ sở vật chất tương đối mới. Giá rẻ so với chất lượng phòng.",0,4,0,0,0,0
Nhân viên phục vụ nhiệt tình mỗi tội nhà xe để 2 xe 2 điểm đến khác nhau chỉ để câu khách chứ thật chất chỉ là 1 xe ( nhìn thông tin chọn chỗ trên 2 xe giống nhau kể cả khi có sự thay đổi) và đều về Tân Phú chứ không về Cây xăng comeco đối diện bến xe miền đông như vé đã đặt ảnh hưởng đến giờ giấc dự định lịch trình di chuyển của khách.,0,0,0,0,2,0
"Dịch vụ tốt có xe điện đưa đón. Vừa đến eo gió chưa biết đi đâu cả mà các bạn nhân viên nhiệt tình chỉ điểm nên rất ưng cái bụng. Trên đường vào eo gió nếu đi xe máy sẽ có rất nhiều cò mồi chỉ điểm chèo kéo khách, nên các bạn đi lần đầu nhớ cẩn thận tìm hiểu trước địa điểm ăn uống và nói thẳng với họ. Tránh tình trạng tưởng mình ngu ngơ.",0,0,0,0,5,0
Rất hiện đại nhưng cay.,0,0,0,0,0,0
"Không gian đậm mùi biển, người dân cũng chất phác, dễ gần. Tuy chưa cung cấp nhiều tiện ích cho du khách hay vẫn còn thiếu chuyên nghiệp trong phục vụ nhưng sự hoang sơ nơi này đã lôi cuốn nhiều du khách. Kể từ khi khu vực được định hướng phát triển du lịch, dịch vụ thì nơi đây thay đổi từng ngày. Hi vọng lần sau có dịp tới đây sẽ có thêm những khám phá mới !",4,0,0,0,0,0
"Là địa điểm tốt cho các tín đồ sống ảo: bãi biển đẹp, góc nhìn bao quát cả thành phố xinh đẹp, nước uống ngon. Bên cạnh đó bạn ghé thăm mộ Hàn Mặc Tử, mua 1 vài món quà lưu niệm bằng bút lửa. Đặt biệt là vào cổng miễn phí.    
",5,0,0,0,0,0
"Cửa hàng chuyên bán đặc sản Quy Nhơn- Bình Định. Ngoài các loại hải sản như cá khô , mực khô, hàng đông lạnh  còn có bánh tráng , bánh ít lá gai, nem chả, tré, rượu bàu đá...
Ông chủ vui tính, nhân viên nhiệt tình . Mua cái gì cũng bớt giá (có giảm giá thật hay không thì có trời biết 😁).",0,0,0,5,0,5
"Tết trung thu mình hay mua bánh Như Lan về biếu cho gia đình. Vì ba mẹ mình thích ăn bánh ở đây lắm và khen ngon mọi người ạ. Bánh ở đây giá cũng ko quá cao, nhưng rất chất lượng 😍",0,0,0,4,0,0
"Chỉ sử dụng Vinasun. Sử dụng những người khác có nguy cơ của riêng bạn, và rủi ro cho ví của bạn.",0,0,0,0,3,0
"1. Khu vực mát mẻ, chuồng trại sạch sẽ, chỉ có ngang qua chuồng dê hơi có mùi >.< 2. Chưa đa dạng các loại thú lắm 3. Nếu có thời gian thì bên trong có trò bắt cá bằng tay, hồ thiên nga đạp vịt + cho cá ăn, khu vui chơi thiếu nhi 4. Chim, chim công đi ra đường gặp khách không sợ luôn, rất dạn dĩ nè, 5. Giá vé + vé xe điện thì hơi cao, đi có bé nhỏ nên không ở được lâu nên 45’ là xem hết rồi 6. Nếu có thêm thuỷ cung thì sẽ đa dạng hơn",3,0,0,0,0,0
"Sân bay nhỏ, thoải mái. Dịch vụ taxi kém, văn hóa kém, tranh giành khách không được tỏ thái độ khó chịu. Đường dẫn vào sân bay quá xấu.
",0,0,0,0,2,0
"Ngày 2 mình thuê xe Nouvo nhưng với giá 160k/ ngày thay vì 150K/ ngày như lúc đầu KH báo giá. Lúc nhận xe thì không có ai ở đó, bảo vệ cũng ko biết xe nào, làm mình và bạn mình phải loay hoay tìm xe mất 15'. Nhận được xe rồi thì lại phát hiện 1 trong 2 nón bảo hiểm không có dây cài. Mình lại phải đi mượn nón của các anh bảo vệ.",0,0,0,0,2,0
"Nhân viên rất nhiệt tình và thân thiện từ lễ tân đến nv dọn buồn phòng. KS gần biển, cf Highland và cây ATM, chỉ đi một đoạn ngắn là ra được chợ đêm và tháp Trầm Hương. Mình để quên tai nghe ở khách sạn, đã nhờ các bạn lễ tân tìm lại được và giữ giúp mình, ko bị mất.",0,5,0,0,0,0
"Quang cảnh đã được cải tạo, các nền đường đã được lát đá, sạch sẽ, cây xanh phủ mát, bãi biển cát trắng min, sạch.
",5,0,0,0,0,0
"Phong cảnh rất đẹp .phòng đạt chuẩn 5* . Món ăn các nhà hàng rất tươi ngon , đảm bảo an toàn thực phẩm, nhân viên thân thiện ,chu đáo.
",0,0,5,0,0,0
"Dịch vụ tãi vinasun cam ranh nha trang quá tệ, một điều hành của hãng tiếp đón và thương lượng gia ok,nhưng không ngờ đi được 
nữa đoạn đường thì nhân viên tổng đài điện thoại đòi giá cao hơn,trong khi nhà mình đang có e nhỏ 8 tháng,,mình nói chuyện với tổng 
đài thì họ kiên quyết và đòi đỗ khách giữa đường trong khi lúc đó đã 22h khuya,hãng taxi lừa khách trắng trợn,",1,0,0,0,1,0
"Dịch vụ tốt, tư vấn nhiệt tình, gần nhà mà giờ mới biết nè, goodjob
",0,0,0,0,4,0
"Người lái xe thân thiện và đúng giờ. Họ rất hữu ích với hành lý. Một chai nước đã đợi tôi trên xe, đó là một liên lạc tuyệt vời.",5,0,0,0,0,0
nơi dành cho các e thiếu nhi. có trò chơi phi ngựa. và có ghế đá chọ phụ huynh ngồi. cũng là nơi có thể ngồi hóng mát,5,0,0,0,0,0
"Buồn lắm, làm ăn dối vậy rồi sao ngta dám đi",0,0,0,0,1,0
"Đi vào trúng ngày lễ nên ở đây khá đông. Nhìn bàn ghế hơi bừa bộn tí. Lotteria được trang trí theo tông màu vàng nên nhìn ấm cúng, sạch sẽ, không gian khá ổn nhưng không được rộng cho lắm. Mình không thích các món về gà + thức ăn nhanh nên thấy gà rán không ngon và Hamburger khá bình thường, còn kem tươi thì khá ngon. Menu nhiều món, khó lựa chọn cho những người mới đi ăn lần đầu. Giá các món hơi cao :D Nhân viên thân thiện, lịch sự, nhanh nhẹn",0,0,0,5,0,0
"Hàng và hàng của quầy hàng tuổi teen. Chúng tôi đã mua 4 vị phật thông thái - giá khởi điểm 300 k, chúng tôi đã trả 150 k và sau đó tìm thấy chúng ở một cửa hàng giá cố định với giá 70 k?. Vì vậy, mặc cả khó khăn. Khu vực thực phẩm trông tuyệt vời nhưng chúng tôi đã có một chút lo lắng để thử.",0,0,0,0,0,2
"Một trong những nhà hàng mình có dịp ghé qua thưởng thức khi đến Quy Nhơn, mà lọt vào tầm ngắm của mình đây: Nhà hàng Hải Âu. Bữa đó được ăn no nê. Thích hết các món từ cá chiên, mướp xào,... Nước chấm của nhà hàng cũng pha chế rất là đặc sắc. Nhà hàng nằm ngay trung tâm Quy Nhơn nên từ đây ăn xong đi đâu cũng gần xịt. Nhân viên cũng rất dễ chịu, nhờ gì các bạn cũng tận tình giúp. Nếu có dịp ra đây nữa mình nhất định sẽ ghé qua chỗ này!",0,0,5,5,0,0
"Giữ xe free, thích điểm này, nhưng đi lên tầng siêu thị thì phải đi đường vòng hơi mệt và thang máy k xuống được hầm",3,0,0,0,0,0
"Xe xịn giá hợp lý, tài xe thân thiện nhiệt tình. Giới thiệu được nhiều chỗ ăn ngon.",0,0,0,0,4,0
"Lễ tân rất lịch sự . Phòng tuy nhỏ nhưng cũng có đầy đủ các dụng cụ cần thiết, tuy nhiên phòng tắm ko sử dung được nóng lạnh.",0,3,0,0,0,0
"MÌnh sinh ra và lớn lên ở Làng chài Nhơn Lý này nhưng đã chuyển đi nơi khác sống, nhớ lắm! Bao lần rủ bạn bè về chơi, tụi nó vẫn thích mê, không muốn về! Ở đây người dân dần quen với cách làm du lịch, nhưng vẫn giữ nguyên được phong vị làng chài bao đời nay. Yêu!
",0,0,0,0,0,0
"Lần đầu tiên đến Quy Nhơn du lịch, cũng may tìm được chổ thuê xe máy xịn, giá là rẻ vô cùng. Mấy anh nhân viên bên này tư vấn rất nhiệt tình và tội, còn dẫn đường cho mình về home sợ mình không biết đường nữa",0,0,0,0,4,0
"Có hàng giao dịch vụ, nhưng không nhận được nước giải khát",0,0,0,4,0,0
"Khách sạn cực kì sạch, cô chú chủ ksan nhiệt tình, dễ thương lắm.",0,5,0,0,0,0
"Nằm trên đường Mai Xuân thưởng, gần trường cấp 2 của mềnh. Từ lâu rồi, Kiwi tuy là quán ngồi vỉa hè nhưng đồ ăn thức uống phải nói là rất chất lượng. Giá bình dân. Ngoài chè khúc bạch có Nhiều món ăn vặt và đồ uống ngon lạ. Phục vụ nhiệt tình. Sẽ lui tới thường xuyên :D",0,0,0,5,0,0
"Chuyên nghiệp, lịch sự, nói chuyện rất dễ thương Mình thuê 3 xe 3 ngày còn được disconut 10% , xe đời mới, giá lại rẻ không như xe của khách sạn vừa cũ mà giá lại cao. Dịch vụ cho thuê xe máy ở đây rất nhiệt tình, giao xe tận nơi và lấy xe tận nơi hoàn toàn miễn phí, một ngày tính theo 24 tiếng bắt đầu từ lúc nhận xe nhưng khi mình trả xe lỡ đi xa quá về ko kịp trễ hẳn 2 tiếng. Bạn chủ vẫn rất vui vẻ và ko tính theo phí phát sinh. Kinh doanh rất sởi lởi và thiệt tình, cho bạn đánh giá 5 sao nhé",0,0,0,0,5,0
"Tiệm này đêm đêm chạy xe ngang qua là thấy đông các bé tuổi teen tụ hội ngồi đây hết. Nên thôi đi buổi sáng cho đỡ đông coi thử xem sao. Không gian mở, ngồi vỉa hè rất là bình dân. Nhân viên phục vụ cũng được, tuy không nhanh nhẹn lắm dù buổi sáng không đông lắm nhưng cũng chấp nhận được. Bạn mình kêu trà bọt biển ở đây ok nên cũng thử luôn. Bạn mình thì gọi trà đen bọt biển, mình thì muốn thử trà Ryukocha xem sao nên gọi luôn. Trà của mình thì hơi ngọt, vị như mùi trà lài )))))))) nói chung cũng không đến nỗi nào. Lớp bọt biển bị mặn và vị không được béo cho lắm. Do mình hay uống gongcha với RnB thì với chất lượng bọt sữa như thế này thì làm vẫn chưa tới một nửa ròi. Nhưng tại giá cả mềm, phù hợp với các bé teen nên không thể đòi hỏi gì hơn.",0,0,0,3,0,0
"Ra chợ đêm, hồ xuân hương gần, phòng view thoáng đẹp",0,0,0,0,0,0
"Các bạn đi du lịch nên mua hải sản ở đây, nơi đây tập trung đủ loại hải sản tươi ngon với giá cả phải chăng",0,0,0,0,0,5
"Mình gốc Hải Phòng, chưa bao h đi đâu ăn ốc mà thấy ngon hơn ốc Hải Phòng trừ ở đây. 1. Ốc đa dạng nhiều món lắm luôn. Hầu như loại nào cũng ngon. Chỉ có ốc ráo thì chế biến hơi nhạt và Ốc nhảy thì do nhỏ quá nên kều hoài mới ra. Nhóm mình 5 người đi ăn 16 phần tổng 15 món mà chưa hết được các món có trong quán. 2. Giá ko thể hợp lý hơn 15-40k mà đó rất tươi, kên món nhanh. 3. Có cái lưu ý nhỏ là nc sốt ngon tiếc là ko có bánh mì chấm kèm. Không gian quán hơi hẹp. 4. Không liên quan lắm nhưng note tạm vào đây cho đỡ quên là Cua thì mua ở Ao cá Bác Hồ, ghẹ mua ở chờ Đầm, mua luộc ngay tại chợ mang về hoặc ra bãi biển ăn là ngìn tuyệt, rẻ hơn trong nhà hàng rất nhiều. 5. Tổng thiệt hại 400k cho 5 đứa no nê nuôn ^^ quá rẻ.",0,0,0,5,0,0
"Đã thử thuê ngắn hạn, mình có đánh giá thế này. chủ shop dễ tính nên dễ dàng thương lượng, xe mới và êm hơn chỗ khác, mũ bảo hiểm sạch và có chuẩn bị cả áo mưa cho khách nữa",0,0,0,0,5,0
"Tôi đã đọc các nhận xét của nhà hàng và đã thất vọng với chuyến thăm của tôi. Dịch vụ đã đầy đủ. Thực phẩm ok, 
Thật không may cá hồi của tôi đã bị nấu chưa chín. Đã không sống đến đánh giá tôi đã đọc. Giá hơi cao.",0,0,1,1,0,0
Đợt tới đi công tác mình sẽ ủng hộ tiếp.,0,5,0,5,5,0
"Chắn sáng cửa sổ chưa tốt. Đèn cảm ứng hành lang, gần cửa sổ bật mỗi khi có người qua lại, hắt sáng vào phòng.",0,3,0,0,0,0
Xem ảnh của biển hiệu của họ ở mặt trước của văn phòng đặt vé.,3,0,0,0,0,0
"Hơi tệ, nhân viên nhiệt tình nhưng có lần ko biết giá nước, phim gắn 16+ thì tại sao lại có những đứa u10 vào ồn ào, mất trật tự.",1,0,0,0,0,0
"Xe không quá mới, chạy ok. Tuy nhiên giá thuê tính theo ngày trên lịch chứ không phải ngày thực tế (thường sẽ bị tính dư 1 ngày so với thực tế)",0,0,0,0,3,0
"Cho thuê máy quy nhơn 27a Hoàng Hoa Thám. Nơi tuyệt vời để thuê một chiếc xe máy. Chủ nhân hữu ích. Chúng tôi nhận được một chiếc xe đạp thực sự tốt với mức giá phù hợp so với những nơi khác ở Việt Nam, nơi chúng tôi đã thuê xe máy trước đây. Chúng tôi có thể chọn kích cỡ mũ bảo hiểm, vì trời mưa, chúng tôi cũng có áo mưa tiện dụng. Sau khi trả lại chiếc xe đạp, người chủ tổ chức cho chúng tôi đi taxi đến ga Diêu Trì. Hoàn toàn giới thiệu nơi này.",0,0,0,0,5,0
"Bellissimo! ! Sau khi tự hỏi những con đường yên tĩnh trong cơn mưa, chúng tôi bắt gặp viên ngọc ẩn này. Người đàn ông Úc đáng yêu chào đón chúng tôi ở cửa. Bánh pizza và bia tuyệt vời.",0,0,0,5,0,0
"Xe đời mới xịn xò lắm, hồi giờ chưa từng thuê xe chổ nào xịn như vậy ",0,0,0,0,5,0
"- Cái người ta nói ấm lòng ấm dạ vậy đó các bạn. Mình thuê xe chú vô tình để ngã xe, trầy xước xe. Cũng khá nhiều. Mình có bồi thường chú. Mình tưởng thế là xong. Mình bay về nhà thì hôm sau chú gửi trả lại tiền mình còn dư, sau khi chú đã đưa thợ sửa. Cô chú chất phát và thiệt thà.
",0,0,0,0,4,0
"Tủ mát không phải tủ lạnh , bỏ đồ k lạnh ,phòng hơi nhỏ",0,3,0,0,0,0
"Địa điểm gần biển và trung tâm, đi ăn đi chơi cg tiện.",0,5,0,0,0,0
"Búp mới decor lại không gian mới xinh lung linh ^^ . Tuy diện tích hơi chật nhưng với cách bài trí này thì quán có thêm nhiều không gian mới, khá thoải mái và có nhiều không gian check in sống ảo . Mình khá thích diện mạo mới này của quán , trông gọn gàng hơn rất nhiều. Hôm nay mình thử món trà sủi bọt và rất thích phần bọt sữa, mặn mặn, thơm thơm , nhưng lại không thích phần trà cho lắm, không hiểu là nó có vị gì nữa . Đi đúng dịp sinh nhật của búp nên được giảm giá 20% thích quá trời",0,0,0,4,0,0
Không sắp xếp cho người nhà mình đúng ghế đã đặt.,0,0,0,0,3,0
"Nhân viên vui vẻ, phòng phim sạch sẽ. Nhưng vẫn không xử lý được các trường hợp dùng điện thoại làm ồn trong lúc xem phim.
Nói chuyện gây mất trật tự ảnh hưởng đến người xem.
Không tạo nên ý thức người xem phim văn minh mà toàn đá ghế người khác.",4,0,0,0,0,0
Cho thuê xe moto thủ tục đơn giản giá rẻ rất mong được phục vụ quý khách khi du lịch Quy Nhơn,0,0,0,0,5,0
Rất nhiều đặc sản địa phương Giá hơi cao nhưng được,0,0,0,4,0,0
Nhân viên phục vụ nhanh.,5,0,0,0,0,0
Dịch vụ quá tệ. Nhân viên làm việc không giữ lời hứa. Đã qua 3 tháng mà bên đó chưa hoàn tiền cho đoàn.,0,1,0,0,0,0
"Tôi không thích viết các đánh giá tiêu cực nhưng tôi thực sự thất vọng với Nhà hàng 96. Thức ăn ở mức trung bình và giá quá cao, với món phở của tôi thiếu hương vị thực sự. Với rất nhiều địa điểm địa phương tuyệt vời để đi đến, tôi khuyên bạn nên trả ít hơn và đi xác thực. Bạn sẽ không tìm thấy bất kỳ người dân địa phương nào ở đây. Giá niêm yết bằng đô la Mỹ có lẽ nên được cho đi. Nhân viên rất đáng yêu mặc dù.",4,0,1,2,0,0
"Anh Chị chủ xe nhiệt tình, vui vẻ, hỗ trợ khách nhanh và chu đáo. Giao xe và lấy xe tận nơi. Xe mới,đẹp như xe gia đình chứ không phải đang đi xe thuê. Xe đi rất êm và an toàn. Đặc biệt là giá cả thuê xe rất hợp lí đối với mọi người.",0,0,0,0,4,0
"có ghé quán này nhieu lần roi, quán nhỏ , hơi khó tìm tí , năm đường nguyễn trân , quán co bán nhiều loại đồ uống, nhưng đặc biệt vẫn là trái cây tô , mình hay ngồi 2 cái bàn ở ngoài , vì quán nhỏ nên không thích ngồi tron nhà ngột ngạt , giá cả thì hợp túi tiền, noi chung la ổn",0,0,0,4,0,0
"Ăn ngon, bồi bàn chuyên nghiệp và nhiệt tình, trừ nhân viên quầy kem. Hồ nước phía ngoài phòng ăn buffet buổi trưa trông ko được sạch cho lắm, có rác và xác cá chết",0,0,0,5,0,0
"Là quán coffee vỉa hè nhưng khá đông khách đến uống . Không gian quán nhỏ nhỏ xinh xinh , nằm ở mặt đường nên khá mát mẻ . Quầy phục vụ đồ uống nhìn sạch sẽ . Nhân viên khá dễ chịu với khách . Menu đa dạng các loại đồ uống . Giá cả tầm 10k trở lên cho một phần đồ uống , nói chung khá rẻ so với mặt bằng thành phố . Mình thấy chung mấy loại đồ uống loại nào cũng dễ uống hết chỉ trừ những loại có lá bạc hà kèm theo thì hơi khó uống tẹo . Có lẽ một phần là bỏ nhiều bạc hà quá nênn hơi hăng",0,0,0,4,0,0
"Chúng tôi đã nghe nói về một số vụ bê bối taxi, nhưng nghe nói Vinasun là một trong những taxi tốt hơn để có được. 
Vì vậy, tại thành phố Hồ Chí Minh, chúng tôi chỉ sử dụng Vinasun và không có vấn đề gì.",0,0,0,0,3,0
