,Review,du_lich
14,"Vì Foody chỉ chia sẻ về kinh nghiệm ăn uống nên mình sẽ chỉ nhận xét về đồ ăn ở FLC thui nha 😅😋

FLC nằm tít ngoài rìa của Quy Nhơn, đi vào từ cổng đến khu resort cũng phải mất một đoạn. Bù lại thì không gian siêu rộng, đặc biệt nhất là 100% các phòng nghỉ tại đây đều hướng mặt ra biển và bể bơi ❗️🙀 Ngắm cảnh siêu đã luôn.

Ở đây ngoài bữa sáng là miễn phí thì bữa trưa + tối phải đặt trước và trả phí riêng. Mình không nhớ cụ thể lắm nhưng sẽ có hôm bữa trưa / tối là ăn tự chọn. 👍🏻 

Bữa sáng ở đây có nhiều món, khá đa dạng, nhưng vẫn không thoả mãn mình cho lắm 🙄 So với Vinpearl hay so với chuẩn 5⭐️ thì ở đây đồ ăn vẫn nghèo nàn lắm 🌚 Không có nhiều loại Bacon để mình lựa chọn, nhưng có món xúc xích gà ăn ngon. Quầy trứng omelette lúc nào cũng đông, phải đợi rất lâu để chờ, và những người không ăn được lòng đào thì cũng không được lựa chọn khi đông như thế 🍳😔 Có nhiều loại salad, có cả pho mát nữa, và cũng có một quầy sushi. Riêng quầy sushi thì một bữa nhân viên lại refill vài lần với vài loại sushi khác nhau, phải tinh ý + để ý nhiều thì mình mới vớ được loại sushi yêu thích của mình aka sushi thanh cua 🤗🍣 Hầu như bữa sáng nào cũng có cơm chiên, ăn cũng ổn. Có cả phở và bánh canh/hủ tiếu nữa, nhưng mỗi bát thường cho hơi ít bánh, phở bò thì thịt bò vẫn hơi đỏ, hủ tiếu thì nước dùng chán chết 😾 Quầy nước rất hay hết cốc/ đá, và refill thì siêu lâu. Nước thì không có gì đặc sắc, được nước dứa (thơm) là cũng khá ngon. 

Theo mình thấy thì ở đây có nhiều khách du lịch Việt Nam hơn là nước ngoài, nên chưa kể tới phục vụ thì ý thức của mọi người cũng làm chất lượng ở đây giảm kha khá. Quầy trứng omelette thì đã đông, nhiều người còn lấy nhiều, lấy cho cô/chú/bác/dì/cháu/con/ông/bà/,, rồi đứng mãi ở đó không cho người khác👿 Quầy sushi thì nhiều người lấy rồi đặt xuống xong nhiều miếng vỡ nát, rất là khó chịu. Bữa sáng cũng là bữa miễn phí nên rất là đông người, dù mình toàn ăn lúc 8h sáng khá muộn thì vẫn rất đông. 

Bữa trưa ăn tạm ổn. Cơm ở đây ghi là ""cơm hương lá dứa"" nhưng mình không ngửi thấy gì hết 🤤 Sẽ có một vài món trùng lặp với bữa sáng. Đồ ăn cũng không phong phú và nhiều món nguội, không ngon. Đồ uống thì không miễn phí và cũng đắt nữa, ~$3 cho một cốc nước ép dưa hấu tươi chẳng hạn. Mọi người thường đi ra Eo Gió ăn hải sản hay lên thành phố ăn nên bữa trưa thường rất vắng. 

Bữa tối có lẽ là bữa ngon nhất trong ngày 😀 Đồ ăn nóng hổi, chất lượng, nhân viên phục vụ tận tình hẳn lên )) Bữa tối có bò lúc lắc, sườn bò tẩm ướp BBQ, súp cua tóc tiên, curry gà, cá basa, gà rô ti,.. Rất nhiều món ngon để ăn. 

Ngoài ra, trong khu FLC có một cái mini mart nho nhỏ. Tuy không nhiều món lắm và giá cũng nhỉnh hơn bên ngoài một chút nhưng các bạn cũng có thể mua thêm bánh kẹo hay mỳ để ăn vặt, ăn đêm hehe. Mình khá kết mỳ cốc Cung Đình ở đó 😊 có bán cả tú lơ khơ để chơi nha. 

Về dịch vụ ở đây thì các bạn nhân viên cũng nhiệt tình nhưng khá là chậm chạp. Đặc biệt là bữa sáng, có lẽ khách phải rời bàn rồi mới dọn đĩa. Lúc đông thì không sao, nhưng lúc khách bắt đầu thưa dần thì cũng không ra dọn hộ. Nhờ pha cà phê thì cũng mất tầm 10-30' tuỳ hôm 🤔",4
15,"Đến Quy Nhơn đúng ngày bão nên để đến được khu FLC này cũng lòng và lòng vòng. Tránh hết đường này đến đường khác do lũ ngập đường 😂😂
So với FLC Sầm Sơn thì FLC Quy Nhơn đẹp hơn hẳn. Kiểu bày trì cho đến khung cảnh đều đẹp. Đi vào ngày bão độ đẹp giảm đi nhiều rồi nhưng vẫn ưng. 
Phòng ốc rộng rãi, sạch sẽ. Nhà mình đi 4 người nên trong phòng to có 2 phòng nhỏ. 1 phòng giường đôi và 1 phòng có 2 giường đơn. Ở ngoài có phòng khách và bếp nhỏ xinh. Yêu phết. 
Đồ ăn sáng ở đây khá phong phú và bày trí đẹp lắm nhá :))
Có 1 chút ko ưng ý là nhân viên phục vụ chưa chuyên nghiệp :(( từ nhận phòng đến trả phòng chưa bài bải nên mất khá nhiều thời gian. Còn về resort tuy rất đẹp nhưng chưa tinh xảo. Nhìn mép tường lúc xây chát vẫn còn dấu vết nhiều ))",4
16,"Lâu lâu di xa đà nẵng nên đến đây đổi gió thử, dạo này qui nhơn mọc lên nhiều khu nghỉ dưỡng với vui chơi đẹp, nơi này cũng vậy, có khá nhiều cây nhưng chắc mới nên chưa mát lắm :d, tùy theo khu sẽ có bể bơi phía trước nữa, b có dãy hình vòng cung nên sáng ra ngắm bình minh cũng khá thú vị, về phòng thì nhà mình đặt phòng cho gia đình, có đầy đủ tiện nghi phòng khách và đẹp, được lát gỗ nên không gian ấm cúng, thức ăn ỏ đây ổn, có nhiều ẩm thực vùng miền ở việt nam, thay đổi theo ngày nên cũng đỡ ngán, chắc mới nên hôm mình đi chưa đông khách lắm :d",4
17,"Chỗ này đẹp lắm luôn í, lên chỗ cắm trại chụp hình tỉ tê mệt lã thì lao xún là có biển và đá tha hồ chụp tiếp 😂😂😂 chỗ này có cái xích đu ngoài biển nữa mà lúc đó đông người quá nên mình bỏ qua, phí vào cổng quá rẻ bao gồm cả chụp hình tẹt ga, tắm biển và tắm nc ngọt thoải mái lun nè ^^",4
18,"Trung lương trời xuân đẹp ngất ngây. Decor nhiều không gian để chụp ảnh tự sướng. Đến đây cùng bạn làm một bộ ảnh đẹp thì còn gì bằng
Khu dã ngoại này khá nổi ở quy nhoen rồi. Đến quy nhơn mà k ghé thì hơi phí. Ở đây mang vẻ đẹp hoang sơ
Tết này được decor thêm nhiều sắc vàng của các loại hoa nữa đó",4
19,"quá xấu cho một khu du lịch, ko có chỗ để ngồi ở trong khu du lịch, đi đúng 5p quay ra thế mà vé chặt 30k, cứ như lừa đảo. biển nhỏ và đá nhiều",0
20,"Lúc đi về xong mới biết là chưa lên đỉnh hoàng hôn với cầu (hay khóa) tình yêu gì đấy. Ở đây thích nhất là bạn nào mặc quần áo bơi để chụp ảnh ở hai cái xích đu giữa biển ấy. Ảo diệu vô cùng. Về cơ bản chỗ này chụp ảnh được nhiều khung, nhiều cảnh nên rất thích hợp đi sống ảo. Chỗ nào của Quy Nhơn cũng thích hợp để sống ảo luôn ấy :))) Nhưng mà chỗ này khá xa thành phố. Ở đây cũng có chỗ để nghỉ ngơi uống nước này nọ. Nhưng mà không được mang đồ ăn vào đây thì phải mà mình đi không thấy có chỗ để mua đồ ăn nên là....
 Giá vé vào 30k/ng nha",4
21,"Dấu nhấn tuổi 20 của tôi là được đặt chân đến nơi đây_ khu dã ngoại Trung Lương.
Khu dã ngoại Trung Lương, cách thành phố Quy Nhơn khoảng 30km, nằm ở phía Đông đường ĐT 639 thuộc thôn Trung Lương, xã Cát Tiến, huyện Phù Cát. Trước khi đi nên tra google maps, mà đường cũng không khó đi lắm đâu, qua cầu Nhơn Lý cứ chạy thẳng. Do mình ở nơi khác đến đây và được đứa bạn ở Quy Nhơn đưa đi nên việc di chuyển cũng khá thuận lợi.
 Đây là khu du lịch mới mở, nhưng đã thu hút rất nhiều khách du lịch. Mình đi vào hồi tháng 7 năm 2016. Đi vào dịp hè nên trời nắng trong xanh, biển thì rất sạch và trong xanh, nói chung là rất đẹp. Phong cảnh núi non thật yên bình, lên hình thì rất tuyệt vời luôn. 
Ở đây có cắm trại qua đêm. Tiếc là mình chỉ đến tham quan xong rồi về nên không ở lại được. Nghe đâu buổi tối ở đây có mấy hoạt động cũng vui vui như đốt lửa trại, ca hát...Trong khu du lịch có cả nhà hàng phục vụ giải khát và ăn uống rất tiện lợi, giá cả cũng rất hợp lí. 
Thời điểm mình đi chỉ cần tốn 10k gữi xe và 30k cho một trái dừa. không thấy thu tiền vé vào cổng.
Có dịp sẽ quay lại đây, thuê lều ở qua đêm để trải nghiệm những cảm giác tuyệt vời.",4
22,"Đường đi vào khá xa trung tâm thành phố, phải tra google map và hỏi người dân mới tìm ra được. Giữ xe 10k và vé xuống biển là 30k 1 người, có bãi đất cắm trại khá là dễ thương",3
23,"Lần đầu tiên được con bạn dẫn tới nơi này...vừa có biển lại vừa có núi. Nơi này mới được khai thác nên còn hoang sơ, rất thích hợp cho những bạn thích du lịch bụi.
Bãi biển được trang trí thêm các bàn ghế, lều nghỉ mát rất thơ mộng, rất thích hợp cho những bạn đến đây để chụp hình.
Mình đến đây chỉ để chụp hình, tắm biển và ăn uống nên phần ở lại qua đêm thì chưa biết như thế nào nhưng nghe các bạn khác nói lại thì rất là thú vị.
Điểm trừ là đồ ăn mang ra khá chậm nhưng bù lại rất là chất lượng đấy nhé.",4
24,"Phải nói là lần đầu tiên mình thích cái biển mà muốn lao xuống ngay lập tức là bởi 2 cái cổng gỗ đóng giữa biển. Nước thì trong veo, cực thích.
Giá hàng rong ở đây khá rẻ, nên bạn cứ mạnh dạng kiếm cho mình 1 bàn ngồi trên biển, vừa ngắm biển vừa ăn thoải thích.
Còn phía trên là nhà hàng, có cả chỗ xả nước ngọt mà có thu phí, giá hơi chát nha, lưu ý điểm này.
Lúc mình đi khá nắng, nên khu vực nào cũng đầy ấp người. Khu trại rất thích, nếu có cơ hội sẽ thử book lều trại ở lại 1 đêm.
Các góc ưng ý thì có khoảng 5 điểm để chụp hình đẹp
Bạn nhớ thay đồ phía trên khu vực nhà hàng rồi xuống biển nha, vì phía dưới không có toilet hay khu vực nào để thay đồ tắm đâu, cũng chẳng có bảng chỉ dẫn.",4
25,"Lần đầu tiên được anh đồng nghiệp dẫn đến nơi này, 1 nơi thật đẹp, có cả núi và biển
Khu dã ngoại này cách TP Quy Nhơn 15Km, ở đây có khí hậu mát mẻ, cảnh đẹp, 
Ấn tượng với 2 xích đu ở giũa biển
Tắm biển chiều xong lên nhà hàng ăn, thức ăn ở đây ngon....
à.. mà ở đây cũng có dịch vụ cho thuê thuyền dưới biển nữa
Ở đay ngắm cảnh biển về đêm cũng tuyệt vời lắm nha... có thể thuê lều ở lại đây nhé. 
Gía cả hợp lý cả về đồ ăn và các dịch vụ cho thuê nhé...
Một nơi lý tưởng để nghĩ ngơi cùng gia đình, bạn bè và những người thân 
Thích nơi đây!!!!",4
26,"Từ Quy Nhơn chạy băng băng xe đến Trung Lương thấy xa mỏi mòn, mà đến đây chộp hình thì tươi hết cả héo. Núi rừng đồi đá nhìn hùng vỹ lắm. 
Ở đây đc quy hoạch khá tốt, vào vé vào cổng xuống biển tắm là 30k/ vé. Có gian hàng và chỗ gửi xe đầy đủ, ko sợ phải thả rong xe ko có ng trông. Chỗ đi vệ sinh thì miễn phí, khá ấn tượng là được xây thành căn riêng theo kiểu tinh tế, khoái nhất là đi du lịch mà có cái wc nó sạch nó thơm. Hé hé. Còn lại thì cứ tung tăng mà xoã loã chộp hềnh nhé nhé.",4
27,"Hồi trước mình đi chùa ông núi đã đi biển trung lương 1 lần rồi. Nay quy nhơn phát triển khu dã ngoai trung lương, bạn mình tới chơi nên 2 đứa dắt díu đi. Đường đi dễ tìm và cũng ko xa mấy. Thích nhất là nhìn ngắm cảnh vật 2 bên đường đi, biển trong xanh, êm đềm thơ mộng. tới nơi rất đông, mặc dù mình tới tầm ban trưa. phí giữ xe 10k còn lại ko tốn vé vào cổng. ở đây có thêm 1 quán cafe,1 nhà hàng, khu cắm trại qua đêm, một số phòng thay đồ",4
28,"Lần đầu đến đây, cảnh đẹp, nhà hàng đẹp, đồ ăn cũng ngon, nhưng chưa có nhiều dịch vụ du lịch. Mong sẽ phát triển thêm.",4
29,"Khu dã ngoại Trung Lương, cách thành phố Quy Nhơn khoảng 30km, nằm ở phía Đông đường ĐT 639 thuộc thôn Trung Lương, xã Cát Tiến, huyện Phù Cát. Trước khi đi nên tra google maps. Mà đường cũng không khó đi lắm đâu, xem video mọi người sẽ thấy. 
Do mình ở nơi khác đến đây và được đứa bạn ở Quy Nhơn đưa đi nên bỏ qua mấy công đoạn chuẩn bị các kiểu đồ nhé. Đây là khu du lịch mới mở, nhưng đã thu hút rất nhiều khách du lịch. Mình đi vào hồi tháng 7 năm 2016. Đi vào dịp hè nên trời nắng trong xanh, biển thì rất sạch và trong xanh, nói chung là rất đẹp. Phong cảnh núi non thật yên bình, lên hình thì rất tuyệt vời luôn. 
Ở đây có cắm trại qua đêm. Tiếc là mình chỉ đến tham quan xong rồi về nên không ở lại được. Nghe đâu buổi tối ở đây có mấy hoạt động cũng vui vui như đốt lửa trại, ca hát...Trong khu du lịch có cả nhà hàng phục vụ giải khát và ăn uống rất tiện lợi, giá cả cũng rất hợp lí. 
Có dịp sẽ quay lại đây, thuê lều ở qua đêm để trãi nghiệm những cảm giác tuyệt vời.",4
30,"Cách trung tâm thành phố 18km là địa điểm hiện nay được coi là khu du lịch nghỉ mát và cắm trại của đông đảo bạn trẻ trong và nội thành... thảo nguyên xanh, bãi biển đẹp là 1 nơi được mệnh danh là lá phổi xanh của thành phố... mình tới đây không khỏi bất ngờ không chỉ cảnh đẹp mà còn không khí ở đây cũng rất dễ chịu, thiên nhiên đã ban tặng cho thành phố một nơi tuyệt đẹp để có 1 địa điểm du lịch thú vị cho người dân không riêng gì thành phố Quy Nhơn...",4
31,"Vé xuống: 20k
Thuê chòi :100k
Mình chỉ thích xích đu thôi, nên ráng đi để chụp hình
Biển ko sạch lắm, nói chung được khu cắm trại chụp hình dễ thương.
Đi khá xa nha, nhớ về sớm, đừng để về quá tối vì đường đi khá tối và nguy hiểm",4
32,"Vào đây bạn sẽ phải tốn những chi phí sau đây:
- Gửi xe: 10k
- Vé xúông khu cắm trại: 20k
- Vé tắm tráng: 10k
Theo mình nếu đã vào đây và khách phải mua vé vào cổng thì thu vé giữ xe là 10k là quá mắc. Và nhất là ở khu vực này. 
Và không bik có phải do mình đi trúng những ngày mưa bão ko mà vào thì thấy đã dẹp hết lều trại. Chỉ còn trơ trọi mấy cái ghế. Cái xích đu ngoài biển cũng bị gãy mất tiêu. Trong khi nó là cái lạ mà khi đến đây du khách muốn chụp hình.
Nhân viên bán vé thì mặt hầm hầm, hỏi thông tin dịch vụ mà trả lời với cái mặt ko có 1 nụ cuời.",3
33,"Được cư dân mạng trầm trồ khen ngợi đây là jeju Việt Nam, đến xong mình không muốn đi Hàn Quốc luôn. 
Không biết do mưa bão dập hay như thế nào mà điêu tàn quá, thế mà thu 20k/người thì thật quá đáng rồi. 
Mấy cái liều cái ghế ngay khu cắm trại hệt cái nhà kho, mấy cái bàn cái ghế đặt để có cái chụp hình cũng lưng chừng lắm, không có 1 sự liên kết nào giữa các món với nhau. 
Biển động, sóng dập lên tận trên mấy tảng đá to, không thể tắm biển được đâu. Nếu nước rút xuống thì chụp ảnh với mấy tảng đá khá đẹp. 
Nói chung là JeJu Việt Nam rẻ tiền quá, không đáng bỏ ra 20k đâu. Hy vọng sau bảo khu này được tu sửa lại để thu hút khách hơn",3
