 ,Review,homestay
19,"Homestay be bé xinh xinh theo xì tai công chúa nằm trong hẻm nhỏ trên đường trần thị kỉ, mới đầu tưởng chừng không gian bí nhưng thực chất vào trong rồi mới thấy được sự thông thoáng của nơi đây. Không khí ấm cúng nhưng một gia đình nhỏ vậy, vì nội thất đa số làm bằng gỗ và những mẫu cũng giống hồi xưa nên làm mình cứ có cảm giác như là nhà của ông bà mình vậy ^^ túm lại là rất đáng để thử ở homestay này nha",4
20,"Mình và nhỏ bạn phượt từ Nha Trang ra Bình Định trong ngày, hai đứa cứ mang nhau đi thôi. Mình chọn Oh Homestay vì nó gần ngay trung tâm và địa điểm thì dễ tìm. Chúng mình không đặt trước phòng nhưng may sao có một gia đình delay nên mình và nhỏ bạn thuê được nguyên phòng gia đình, giá 300k nhưng được anh chủ fix chỉ còn 280k. Vượt ngoài mong đợi, không gian ở đây khá tự do và thoải mái. Nhà vệ sinh thì xài chung và mình không thích lắm nhưng có nhiều phòng và yên tâm là không ai đợi ai cả. Một điểm cộng là anh chủ quán rất nhiệt tình, chịu khó dẫn bọn mình tham quan khắp thành phố với những câu chuyện cười tới bến.",4
21,"Mình thấy ở homestay này rất hay nhé, kiểu như ăn nhậu xong thuê phòng ngủ luôn ý :)). Ở đây có cafe tà sữa thước uống, có cả món nhậu ăn vặt, rồi có cả phòng homestay nữa rất là tiện cho 1 nơi lý tưởng nằm giữa Thành Phố như vậy. Đặc biệt ở đây view đẹp mà lạ nữa nên mấy thánh teen thấy cái là kéo nhau đi check in liền à. Về nước thì mình thấy khá ngon, có đầu tư về nhân viên pha chế ạ :), giá cả thì ok bình thường như những quán khác giao động từ 15-30k. nhanh tay nhanh chanh kẻo tụi bạn nó check in hết bây giờ :))",4
22,"Quy Nhơn mới xuất hiện thêm homastay nì nữa nè, phòng 2 người 2 người là 300k còn, phòng tập thể thì chỉ có 100k thôi nhé! Mà đi du lịch chủ yếu là đi ở ngoài tối chỉ về ngủ một tẹo thôi nên 100k là đủ để đáp ứng nhu cầu mọi người đầy đủ luôn. Phòng ốc sạch sẽ đẹp đẽ, rất thích hợp để sống ảo luôn. Đặc biệt có cái boot điện thoại thần kì của doremon ở ngay trước cửa nữa nề )) muốn yêu cầu gì cứ vô đó alo nha mấy chế )))) túm cái quần lại là bây giờ đã có nơi trú ngụ rất rất thích mối khi đến Quy Nhơn, cam ơn Foody rất nhiều vì đã tư vấn tận tình cho mình hihihi",4
23,"Tới ngày chủ nhật, quán đông nhưng phục vụ rất kịp thời, siêu siêu dễ thương. Uống cafe dừa, chưa có dịp uống cafe dừa ngoài bắc nên k so sánh đc, nhưng uống ở đây rất ngon, kem dừa to mịn, thơm cực kỳ, cafe hơi mạnh xíu, nhưng dân thích cafe chắc sẽ thích. Không gian thì đẹp cực kỳ, không bật nhạc to, vụ này thì tui rứt là thích luôn! :)))",5
24,"Đi uống nhiều nơi v mà vào đây thấy vị là được nhất.
Deco cực bắt mắt lúc đi ngang nhìn vào là muốn vô quán ngay, giá cả hợp lí.",4
25,"Hôm đi du lịch Quy Nhơn nhờ tìm tòi trên Foody Quy Nhơn này mà biết được homestay này giá cũng ok mà không gian thì đẹp tuyệt vời luôn. Mình ko thích ở khách sạn lắm vì không gian ko thoáng cho lắm nên tìm mãi mới được cái homestay nì. Vì thấy ở quy nhơn dạng homestay này cũng chưa nhiều nữa may mắn sao trên foody quy nhơn thấy có thế là ghi lại địa chỉ mà đến đây liền. Giá phòng thi dao động từ 270-400 tùy loại phòng mà bạn chọn nữa. Không gian đẹp, thoáng mát, sạch sẽ nữa, đặc biệt chủ rất thân thiện luôn hehe, Có luôn cả dịch vụ tư vấn nên đi đâu ăn gì ở Quy Nhơn nữa đó nha",4
26,"Homestay rất mới ,sạch sẽ ,rộng và thoáng. Chủ nhà cực thân thiện,vị trí tuy ko gân biển nhưng cũng rất ok để đi lại trong thanh phố.",4
27,"[VỊ TRÍ]
Homestay nằm ở góc đường nên khá dễ tìm
Gần trung tâm, đi bộ tới khu ăn vặt Phan Bội Châu siêu gần, đường Ỷ Lan khá vắng vẻ, ít xe cộ đi lại nên ngủ rất ngon giấc kể cả trưa hay tối

[DỊCH VỤ]
Lần này mình tới có hai anh chị trẻ tuổi tiếp, chị nhân viên siêu dễ thương, nói chuyện niềm nở
Homestay có bếp, tủ lạnh. Khi mượn chỉ cần hỏi là okei
Phòng trong hình với lại thực tế khác nhau hẳn :)))
Mình ở phòng đơn, nhỏ gọn và đẹp hơn hình nhiều :))) giường êm mỗi tội chăn hơi mỏng :)))
Homestay có chỗ phơi đồ, máy giặt luôn
Có nhà vệ sinh chung luôn, mặc dù là chung nhưng rất sạch sẽ, có máy tắm nước nóng.
Đi về thoải mái, mà thường 10h tối là mình về vì Quy Nhơn nhịp sống chậm nên thường 10h là hết hoạt động rồi :)))

Nói chung chắc chắn sẽ ghé lại nếu vào Quy Nhơn chơi lần nữa",4
28,"Homestay mới ở Quy Nhơn nè. 
Phòng đôi 2 giường giá từ 450-550k/đêm nha.
Nếu bạn muốn thoải mái, riêng tư và ấm cúng như ở nhà thì thuê nguyên home, phù hợp cho nhóm bạn, gia đình từ 8-12 người/ home, Giá thuê cả home chỉ từ 800k - 2,5tr, được tự do nấu nướng, tiệc tùng, BBQ, mà không phải mất 1 khoảng phí nào.
📣📣📣📣 Dịch vụ:
- Homestay có bếp nấu
- Tổ chức BBQ 
- Dịch vụ cho thuê xe máy, giới thiệu tour giá rẻ
📡📡📡 Vị trí: 
- Cách chợ Đầm - 250m - 1 trong những Chợ Hải sản của Quy Nhơn và chuyên bán hàng khô Hải Sản để làm quà.
- , Gần tạp hoá, cây xăng, tượng đài Quang Trung, gần ga xe lửa Quy Nhơn.",4
29,"Vô tình phát hiện ra chỗ này thuộc dạng như một điểm sáng nổi lên giữa loạt những homestay ở Quy Nhơn. Thiết kế nhà kiểu container độc đáo, view nhìn thẳng ra sông thoáng mát cực đã. Homestay nhỏ nhưng khá là đầy đủ tiện nghi, ở rất thoải mái. Đặc biệt là vị trí này gần cầu Thị Nại, đi đến Eo Gió, Kỳ Co cũng khá là gần luôn, rất tiện cho du khách muốn khám phá vẻ đẹp hoang sơ của Quy Nhơn. Giá phòng rẻ chỉ 100k :))",4
30,"Nằm sát bên trường Đại Học Quy Nhơn với view nhìn thành phố siêu đẹp. Đây là một quán chuỗi phức hợp với tầng trệt là một quán cafe nhỏ siêu dễ thương, tầng 2 là một homstay nho nhỏ,và tầng 3 là một quán rượu. Phải công nhận chủ của quán này đã tận dụng tối đa diện tích để khai thác hết tiềm năng của quán. Bên cạnh đó còn trang trí quán trở thành một địa điểm hết sức đáng yêu, hết sức cổ kính và rất là chất. Mình khá sốc khi cầm cái menu của quán cafe. Giá cả đặc biệt rẻ và sinh viên. Hai đứa uống xong mà trả có hơn 30k mà nước uống rất ngon và chất lượng.Nhân viên thì thân thiện và lễ phép. Chị chủ cũng đáng yêu không kém phần. Một địa điểm ở Quy Nhơn rất đáng đến để sống ảo.",4
31,"View quán vô cùng nhẹ nhàng vô là thích ngay.
Không những thế mà phòng nghỉ vô cùng sạch đẹp và đầy đủ tiện nghi",4
32,"Cái ELEVENHOUSE này mình vô tình thấy trên facebook. Nhìn hình thì có vẻ đơn giản và cũng gần mấy khu du lịch, mình nt vào page hỏi thử giá thì được tư vấn ưu đãi giá phòng đơn cho 2 người là 300k. Thấy homestay cũng xinh mà giá cũng oke tận tình thế là mình book luôn cho nóng. 
Mình đi xe khách từ Sg đến QN. Mình bị hù nào là ""taxi chở đi vòng vòng, rồi lạc đường, ... các kiểu'' mình lo dã man mà đến nơi có bà chủ homestay đón chở về tận nơi. 
Phòng mới và sạch sẽ, có ban công nhìn ra view núi rất thoáng. Muốn lăn lên ngủ liền hahaha. Homestay thì ở tt thành phố chạy xe ra biển cũng nhanh. Giá thuê xe tại homestay là 100k/ ngày mà được chạy hẵng xe ga AB. Mình ưng ghê gớm lun 😍😍😍",5
33,"Những lý do dạo gần đây mình thường chọn homestay làm nơi dừng chân cho những chuyến đi: tiết kiệm, thoải mái, gặp nhiều bạn mới
🍀Lần này đến Quy Nhơn, mình tìm đến Lặng Homestay, và tình cờ thích mê chỗ này
- Vì giá phòng cực hợp lý cho ng thích di chuyển như mình, phòng riêng rộng và có điều hòa, có cả phòng lớn cho ng đi theo nhóm.
- Nhà cho mình cảm giác ấm cúng, thoải mái, dễ chịu. Sáng sớm ra sân sau uống trà thơ thẩn ngắm hoa, nghe chim hót ríu rít. Tối đến chạy lên sân thượng đọc sách hay làm vài lon bia với bạn bè. Không gian sinh hoạt chung rất rộng, rất xanh, rất mộc mạc làm người ta cảm giác như mình đang ở nhà (căn nhà nhỏ mơ ước của mình ))))). Bạn cũng có thể tự nấu ăn hoặc làm tiệc bbq ngoài trời nữa
- Chủ nhà cực kỳ dễ thương, thân thiện và nhiệt tình. Nếu bạn đến Qui Nhơn ngẫu nhiên mà chưa biết nên chơi j, ăn j, ăn ở đâu thì cứ hỏi 2 anh chủ nhà đẹp zai và tốt bụng nhé ))) Quy Nhơn nhiều chỗ đẹp lắm nhưng ko phải lúc nào tìm trên mạng cũng có đủ thông tin đâu
- Cũng vì có nhiều không gian sinh hoạt chung nên mình đc gặp các bạn ở nhiều vùng khác đến, đều dễ gần, sôi nổi và thích du lịch trải nghiệm.
Nói chung là nếu đến Quy Nhơn thì đừng quên ghé Lặng nhaaa ))",5
34,"Được ngày lễ cả đám kéo nhau đi chơi. Một trải nghiệm thí vị. Không gian Romantic đủ cho mọi người sống ảo cả ngày mà không sợ trùng cảnh. Các phòng được thiết kế theo hình ống, đang là mốt homstay giới trẻ yêu thích hiện nay. Ở đây còn có các món hải sản, gà chỉ mình không mất công nấu nướng, chỉ cần gọi là có ngày. Các món ăn ở đây khá ngon. So về giá thì mình thấy ở đây giá không quá cao, trải nghiệm một ngày nghỉ ngơi thật xứng đáng, không tiếc công đi đến đây.",5
35,"Phòng rât rộng và sạch sẽ
thích nhất là tour xe ngựa & đổ bánh xèo ở đây, rất vui và đặc biệt
các bạn tới ở có thể liên hệ với chủ nhà để đặt trước tour, bảo đảm đi rất đáng đồng tiền bát gạo, nhất là đi với nhóm bạn hoặc gia đình",4
36,"Phòng rộng, sạch sẽ
Nhà vsinh hơi bé
Hơi xa khu trung tâm tí
Còn lại tất cả đều rất ok
Phòng 2 giường này mình ở là 500k 1 đêm",4
37,Ngay trung tâm. Giá rẻ. Phòng nhỏ và khá bí. Tuy nhiên chủ nhà khá nhiệt tình hướng dẫn và tổ chức tua. Không có thang máy và tủ lạnh. Chăn cứng và nhỏ. Máy nước nóng bật cùng lúc có thể gây sập cb. Phòng không cách âm tốt nên bị ồn từ các phòng khác.,3
38,Mọi người ơi. T.O.P Villa Hostel đã trở lại. Cùng nhau chia sẻ để xây dựng T.O.P Villa trở thành nơi giao lưu gặp gỡ của những người trẻ và không trẻ nhưng có tâm hồn tự do có cùng đam mê xê dịch nào. Đặc biệt ki đến với chúng tôi vào tháng 7 này các bạn sẽ có những ưu đãi đầy bất ngờ đấy. Nhanh tay liên hệ với chúng tôi ngay nào!!!!! Hè đến rồi còn chần chờ gì mà không xách balo lên và đi!!!!!!!!!!!!!!!!!!!!!!!!!,5
39,"K200 - sự thoải mái tuyệt vời

Mình thuê 3 ngày 28-31/08
Thời điểm mình thuê là homestay chỉ có mình mình là khách. Nên là có hơi cô đơn, nhưng được cái là thoải mái lắm :)) một mình một cõi đó mà
Mình thuê 1 giường dorm giá 130k/ ngày, giường êm lắm, mỗi giường có 1 cây quạt riêng, 1 tủ đựng đồ riêng, có rèm che nữa. Phòng giường dorm có 10 giường, có máy lạnh và 1 phòng vệ sinh chung
Mình kiếm mãi mới được homestay này là cho thuê 1 giường dorm thôi ấy, đa số homestay mà có giường dorm ở Quy Nhơn đều chỉ cho thuê cả phòng thôi, không cho thuê 1 giường lẻ. Nên bạn nào đi phượt hay chỉ đơn giản là cần chỗ ngủ thì homestay là lựa chọn không thể bỏ qua đâu nhé
Cô chủ homestay cực kỳ dễ thương, cho mượn mũ bảo hiểm nè, đáng ra mình phải check out lúc 12h nhưng 6h mình mới ra Ga tàu mà do lúc đó homestay không có khách nên cô cho ở tới 6h chừng nào mình đi thì nói cô thôi. Giờ giấc thoải mái vì mình được cho chìa khoá nhà và chìa khoá phòng luôn nha.

Ngoài ra homestay còn có 1 phòng 1 giường 2 người và 1 phòng 2 giường cho 4 người. Giá phòng đơn là 300k/đêm và phòng đôi là 600k/đêm (mình không nhớ rõ là 500k hay 600k nữa huhuu)
Nếu thuê cả căn thì siêu siêu thoải mái luôn nha vì homestay có sân thượng thiệt rộng, bếp núc gì ở trên đó hết, cô chủ cho mượn chén dĩa và bếp luôn, có máy giặt luôn đó

Homestay ở đường An Dương Vương gần Đại Học Quy Nhơn, có hơi xa chỗ mình ăn chơi (vòng xoay Lê Hồng Phong, Lý Thường Kiệt) nhưng đường Quy Nhơn chạy thoải mái lắm, nên dù xa nhưng chạy xíu là tới.
Nếu bạn cần kiếm một homestay tầm trung mà thoải mái và ấm cúng thì K200 là nơi bạn nên thử một lần
Mình sẽ thuê cô dài dài khi tới Quy Nhơn hehee
SĐT của cô nè: 0‭91 4092079‬
Mình thì không có chụp ảnh lại nhưng bạn muốn xem thêm thông tin về homestay thì bạn ghé trang fb của K200 nhé. - https://www.facebook.com/homestayKa200Quinhon -",5
