 ,Review,nha_hang
32,"Dự tính đi Kỳ Co lâu rồi mà chưa có dịp, tình cờ thấy review về dịch vụ tour Kỳ Co trọn gói mà chỉ có 300k nên rủ anh đi luôn.
Vì vụ một thoáng là đến Nhơn Lý, được anh chủ nhà hàng đón tiếp rất nhiệt tình. Có cả xe đưa bọn mình ra bến, cano hiện đại ghê, đi 10p là đến đảo Kỳ Có rồi, ban đầu cứ sợ say sóng mà ngồi lên đi nhanh quá chưa kịp say :))) chả bù trước kia ra đảo đi bằng ghe nó lâu mà mình say sóng là hết muốn chơi gì nữa. 
Ta nói tai nghe không bằng mắt thấy. Quả thật được mệnh danh là ""Maldives"" của Việt Nam đâu có sai. Trời xanh, biển xanh, núi cũng xanh, cảm giác như đang lạc vào chốn thiên đường vậy đó. Chụp hình thì khỏi chê đâu đâu cũng là background tuyệt đẹp, mình làm nguyên cả album luôn.
Ở đây có cho thuê cái phao vịt giá 50k/h thôi, nhìn cute lạc lối dễ sợ. 
Tắm biển, chụp choẹt đã mình sang bãi dứa lặn san hô. Nước trong đến mức đứng ở trên bè mà cũng thấy được san hô luôn đó. Mình mệt nên ngồi trên bè nghỉ, có chú kia đi thuyền thúng bán nước dừa, trứng. Ngồi thả hai chân xuống nước vừa ăn uống thoải mái vô cùng.
Tiếp mình về nhà hàng tắm nước ngọt, quẩy đủ kiểu nên đói quá, nhà hàng phục vụ đủ các loại hải sản, thích nhất món hàu nướng phomai, chẹp...chẹp, nghĩ lại còn thèm.
Bọn mình đi có 2 người mà giá cũng 300k, quá rẻ có chuyến du lịch kỳ co. 
À quên bên đảo cũng có dịch vụ cho thuê cano siêu tốc giá 250k/h đó, quá tuyệt vời cho bạn nào thích trải nghiệm cảm giác mạnh.",4
33,"Mình được bạn giới thiệu cho tour kỳ co trọn gói 300k trên fanpage Du lịch biển Bảo Nam, thế là thấy cũng ok nên đặt tour bên đó luôn. Sáng cùng đồng bọn đến Nhơn Lý, anh chủ ra đón đến nhà hàng cực kỳ thân thiện. Tầm 9h đi cano ra kỳ co, cano xịn ghê, đi tầm 10p là đến đảo rồi. Bọn mình tha hồ chụp ảnh tắm biển các kiểu,cảnh đẹp mê hồn. trưa anh hướng dẫn viên của Bảo Nam đưa bọn mình ra bãi dứa lặn ngắm san hô thỏa thích xong về nhà hàng tắm nước ngọt, ăn hải sản muốn ngập mặt luôn, 8 món. là lá la nghỉ ngơi một lúc bọn mình về lại QN. Chuyến đi quá tuyệt, dịch vụ ok",4
34,"Thích thú vì về quê đi nhơn lý chơi. gia đình mình thuê qua nhà hàng này luôn vì được bạn giới thiệu và giá tour cúng phải chăng. 300k/người bao gồm di chuyển ca nô đi ra đảo và ăn trưa các món hải sản tươi k hà.
quy nhơn thì nổi tiếng vs hải sản tươi sống và giá rẻ
nhân viên nhiệt tình, vui vẻ
món ăn cũng hợp khẩu vị",4
35,"Anh chủ cực kỳ thân thiện luôn, nhà hàng hình như cung cấp dịch vụ vận chuyển luôn hay sao mà thấy các quán khác cũng liên hệ nhờ chở khách dùm. 
Cano đi nhanh dễ sợ, chỉ tầm 5 hay 10 phút gì đã ra đến bãi Kỳ Co. Chưa kịp say luôn (mình bị say sóng)
Nước biển trong vắt, cảnh thì tuyệt đẹp. Đi tham quan 1 vòng đã chụp muốn cháy máy. Công nhận ở cái nơi biển xanh cát trắng nắng vàng này, chỉ cần giơ máy lên chụp là đã có 1 bức ảnh đẹp rồi.
Tham quan tắm biển xong lại lên cano di chuyển qua bãi dứa lặn san hô, san hô ở đây nhiều và đủ màu sắc luôn. Bạn nào tắm mệt rồi thì lên bè để nghĩ. Mấy nhà hàng có làm bè nỗi để khách nghĩ ngơi hoặc muốn ăn luôn trên biển cũng đc.
Mình thì về nhà hàng ăn, tắm biển chơi bời quá trời nên đói dã man. Ăn gì cũng thấy ngon. Nhất là Hàu, thịt nhiều dễ sợ. 300k mà vừa đi vừa ăn như vậy theo mình thấy là rẻ. Nếu có thêm dịch vụ giải trí nữa thì ngon. 
À. Cái phao vịt, hay thiên nga gì đó thuê có 50k/h à. Chụp rồi mà hình ở máy khác nên ko up đc :((",5
36,"Được du lịch quy nhơn thích ơi là thích. phải ghé một trong những địa điểm du lịch hot gần đây. gia đình mình chọn tour bên chỗ này vi giá cả phải chăng và dịch vụ tốt
không gian nhà hàng mát mẻ, phục vụ cũng chu đáo
nói chung hài lòng
ở đây có món mắt cá ngừ đại dương ăn khá ok
nhum biển cũng tươi ngon",4
37,"Đợt nghỉ lễ về rồi rủ bạn đi Kỳ Co, Eo gió vì đang là địa điểm hot của quy nhơn năm ni nên nhất định phải ghé. mình và bạn mua tour ra đảo cho khỏe, họ lo cho mình di chuyển và ăn uống luôn.
Tour đi về trong ngay giá 300k, bao gồm đi cano, ăn hải sản, tắm biển.
cano chạy êm, hải sản tươi và nhiều quá trời luôn
nhà hàng khá là chu đáo và nhiệt tình, dịch vụ tốt",4
38,"Nhà hàng phục vụ ăn uống và tour du lịch biển đảo luôn
giá vé 300k, bao gồm thuyền ca nô di chuyển ra đảo và ăn uống luôn
không gian nhà hàng sang trọng và mát mẻ
có nhiều chòi để ngồi nghỉ ngơi
nói nhà hàng chứ giá cả cũng phải chăng lắm
có dịp sẽ ghé lại",4
39,Có giao ở Phước Lộc không vậy?,2
40,"⭕️Tết xuống QN mà chả quán nào bán đồ ăn, chỉ có các cửa hàng thức ăn nhanh mà thôi. Vì vậy ở đây siêu đông luôn, ồn ào và bẩn lắm. Còn 1 điều khá thú dzị ở đây là khách gọi món xong phải chờ cho đủ món rồi tự mang đi, sau đó mới xuất hoá đơn tính tiền. :)) chưa bao giờ thấy kiểu này.
⭕️Về phần món ăn thì mình có gà sốt tiêu đen: gà siêu mềm luôn mấy má, chứ k có bở như ở SG. Tuy nhiên vị nhạt nhẽo. 
Burger gà khá ổn, phần gà lớp ngoài giòn bên trong thịt mềm.
🍟🍗Khoai tây chiên màu nhạt, chắc chiên mới luôn
Mình có gọi thêm 3 viên khoai tây chiên nhân rau củ, tuy nhỏ nhưng vị khá ổn, bùi bùi
Nước tương cà để lâu nên hơi bị lên men có mùi rượu.",3
41,"Hôm nay cuối tiaafn lại có dịp ghé quán cùng với điwsa em của mình. Hình như những trẻ em thường thíh ăn gà rán thì phải. Quán hôm nay khá đông, mà chỉ toàn ba mẹ dẫn các bé tới ăn. Điển hình con em của mình cũng ghiền hà rán không kém, mình kêu một combo 99k mà một mình nó chén sạch. Chắc chủ nhật quán khá đông, mua mà chờ order với chờ món khá lâu, nhưng ăn cảm thấy ngon, nên cũng tạm chấp nhận. Mình thấy nhân viên ở đây bình thường, như các cửa hàng bán gà khác, không thấy gì là khó chịu.",4
42,"Phục vụ quá tệ, vô rồi phải bỏ về vì k hài lòng, khuyên các bạn tới nơi khác ăn, vô đây bực mình mất cả hứng ăn gà.",0
43,"Món ăn ổn, giá cả ok nhưng cách phục vụ thì tệ quá! Mình ăn ở KFC rất nhiều nơi nhưng ở đây có cách phục vụ lạ nhất, độc nhất mà mình từng gặp. Thông thường nhân viên KFC sẽ chờ khách order xong, xác nhận món, thanh toán và lấy số thứ tự, xong order khách sẽ đến lấy món hoặc đôi lúc chưa đủ món, nhân viên sẽ đem món còn lại đến cho khách. Các thành phố lớn trong nước hay các nước lân cận đều thế! Nhưng ở đây, khách hàng phải đứng chờ tại quầy, order bằng miệng, nhân viên nhớ và làm món bên trong, đủ món sẽ được nhân viên cho ra quầy, sau đó nhân viên mới xuất hoá đơn và thanh toán, rồi đem món về bàn. Cảnh tượng nháo nhào, chen lấn vì nhân viên không kiểm soát được khách nào đến trước và khách thì giành lượt.
Thật rất bức xúc với cách phục vụ của KFC Quy Nhơn!
Mình không muốn quay lại lần nữa!",3
44,Gà ở đây cực ngon lun í. Gà mềm và thấm nữa. Trà sữa thì hơi nhạt. Giá cũng ok so với 1 thương hiệu lớn. Với lại quán ở trên đường lớn nên rất dễ tìm. Không gian hơi chật.,4
45,"Mình hay ăn ở KFC hơn lotte và jollibee . Gà ở đây có vẻ ngon hơn và không bị mềm . Giá ở đây dao động trong khung từ 38k-150k theo từng suất ( mình lựa đại nên cứ cỡ đó mà quất chứ cũng k cố định ) . Khoai tây chiên ở đây chấm tương cực ngon , gà cũng ổn . Phục vụ nhanh nhưng nhân viên có vẻ rập khuôn và không hay cười cho lắm . Còn lại mọi thứ mình thấy khá ổn . Chỗ này khá rộng rãi nhưng hơi ồn cho những bạn thích yên tĩnh , ở trung tâm thành phố nên khá dễ tìm .",4
46,"Mình mua mang về và lúc ăn quên mất chụp lại 😂😂. Nói thiệt đây là lần đầu tiêng vô KFC Quy Nhơn dù mở cũng khá lâu rồi. Ok mình thấy phục vụ nhanh, order nhanh và rất lịch sự. Gà của KFC thì ngon thôi rồi. Ăn 2 miếng gà 38k ( chương trình ưu đãi thứ 4 ák ) mà no tới tối luôn ( mình ăn lúc 4g chiều ). Nói chung mình thích KFC hơn Lotteria vì gà ngon hơn và nhân viên cũng tốt hơn",4
47,"Thật sự dù biết vị gà lotte phong phú hơn , đặc biệt là kho lotte tung ra mấy loại sốt thần thánh nhưng mình vẫn thích vị gà truyền thống của KFC . Và tất nhiên phần thích nhất là phần da gà , da giòn , lớp bột vừa ăn không quá mặn , chấm với tương nữa là hợp .nói chung so về hà truyền thống thì mình thích KFC . Và điểm thu hút nhất của KFC dạo này chính là món bánh tart trứng thần thánh . Thật sự là ăn xong nghiện luôn á . Lớp vỏ giòn và phần nhân thơm thơm béo ngậy . Quá xuất sắc . Đi trúng bữa t4 có km nên hơi đông và chờ hơi lâu . Nhưng dù sao nhân viên vẫn phục vui khá tốt",4
48,"Do đi ra sân bay gắp nên chỉ có thể mua phần kfc mang đi thôi, mình gọi 1 phần combo gồm có 1 hamburger bò, 1 khoai tây chiên và 1 ly nước ngọt để uống, theo mình cảm nhận thì đồ ăn của chuỗi của hàng kfc có thể nói là khá giống nhau rồi nên cực kỳ ưng chất lượng sản phẩm chổ này luôn, đồ ăn mang đi tới sân bay vẫn còn hơi ấm ấm nên ăn cũng ngon lắm mà miếng hamburger khá là to ăn mà no căng cái bụng luôn ấy chứ, khoai tây chiên thì hơi dầu mỡ thấm tràn ra cả giấy gói",4
49,"Ngày xưa cuồng KFC lắm mà từ ngày đi học SG thì chán rồi bởi menu không chịu đổi mới. Quán nào cũng thay nhau tung gà vị mới thì KFC cứ gà rán không đổi, chán kinh.
T4 có chương trình km nên dắt e mình đi ăn. Chất lượng vẫn vậy, km có khác đông kinh khủng.
Không nhận xét gà nữa vì chả có gì mới để nói mà chỉ muốn nói về em bánh trứng thần thánh, ngon kinh khủng.",4
50,"Tối cuối tuần đi ăn uống với anh bạn ngừoi mỹ . Tầm 7:00 pm thì đến quán. Bụng hai anh em đói meo~ Lần này là lần thứ hai đi quán. Nên không còn ngạc nhiên hay bỡ ngỡ nữa. 

Món ăn: Cả hai lần đều chủ yếu là gà chiên. Có 4 vị. Vị gà truyền thống lần đầu ăn thì giống như jolibe hay Lotteria nên ko có gì đặc biệt. Rút kinh nghiệm, tụi mình gọi Gà vị Cay và vị Tương Tỏi. Thật sự 2 món này là ngon nhất trong số 4 vị gà chiên. 
Phục vụ: khá nhanh nhẹn và lịch sự. Chủ yếu là thiếu nụ cười nữa thôi. Nếu đc thêm cái đó thì có thê cho 10/10. 
Không gian: đèn vàng ấm cúng. Nhưng máy lạnh hơi yếu. Nhiều cửa sổ kính nên ánh sáng đèn bên ngoài rất đẹp. 
Giá cả: vì là cửa hàng mỹ nên chắc chắn là rẻ rồi.",4
51,"Mình thích gà lắm, cũng thường hay ghé nhưng hôm nay mới có dịp review.
1. Không gian và ánh sáng hài hoà, cửa kính nhiều tạo cảm giác thoáng với rộng 🙆🏻 cho 4 sao 
2. Thức ăn thì khỏi chê vào đâu được. Gà thấm bị, giòn, phô mai béo ngậy và thơm phức 😻 salad ngon, mà nhiều 😂 ăn hoài hông hết . Thức ăn cho 5 sao luôn
3. Nhân viên : phục vụ tận tình, chu đáo, nhanh nhẹn, niềm nở, lễ phép với khách hàng. Cho 4.5 sao nhen 😘
4. Giữ xe miễn phí
5. Tiện cái là tính tiền trước khi ăn
Nói chung tổng thể là số 1, hi vọng sẽ giữ mãi phong độ như thế này ❤❤❤❤",4
52,"Vẫn là fan trung thành của KFC, nay nhà ta có thêm món pizza thần thánh hoàn toàn không có bột mà thay vào đó là gà chiên giòn kèm lớp phô mai béo ngậy với 1 ít ớt Đà Lạt đã tạo nên 1 món ăn cực kì mới đang thu hút đông đảo các bạn trẻ nha... giá dùng thử 1 người chỉ 79k thôi nhé mà có thêm 1 phần khoai tây chiên và 1 ly pepsi nữa nha... ăn bao ngon bao no nha... các bạn hãy đến thử món mới và cảm nhận đi nào... ngon ngon lắm đó nha",4
53,"Dù nắng hay mưa vẫn thích hương vị của KFC nhất... bởi món ăn đa dạng về gà hải sản mà còn hợp vệ sinh, an toàn, không ảnh hưởng nhiều đến sức khỏe... mình rất thích hương vị giòn cay của miếng gà, sớ thịt mềm mềm dễ ăn... mà ăn hoài không ngán.. ngoài ra mình còn thích bánh tart trứng do KFC làm ra mà chẳng đâu có được bởi khi dùng đều ăn nóng rất ngon mà ít bị ngáy nhé... KFC đang có chương trình tặng thẻ vip cho hóa đơn 200k, hoặc mua thẻ vip 100k hoặc đổi thẻ vip cũ 2016 lấy mới nhé... nhanh lên số lượng có hạn",4
54,"Mỗi lần ai nhắc đến KFC thì thường nhắc đến những món gà rán hoặc những chiếc hamberger, bánh tart trứng, những ly nước pessi, milo mát lạnh... không những thế mà KFC còn đem lại những món ăn mới lạ như kem socola, kem truyền thống, các món ăn mới chế biến từ gà... riêng mình thì mình chỉ thích ly Crusher của KFC, nó có 3 hương vị: nha đam cam, kiwi, việt quốc... và có cả kem tươi và đá bào... dùng chung khoáy đều là sẽ ra 1 loại thức uống cực ngon cho những ngày oai bức... phải nói là 1 sự lựa chọn đúng đắn... các bạn nên thử...",3
55,"Kfc cứ khuyến mãi hoài làm chẳng thể đi ăn gà chỗ khác được mà . Kfc đang có khuyến mãi 99k gồm 3 miếng gà rán , 1 phần gà chip , 1 hambuger gà . Có điều không có nước nên phải mua thêm . Nói chung phần này phải ăn 3 người mới ăn hết . Bánh trứng ở đây giòn ngon , nhưng ăn tới cái thứ 2 là ngán ngán vì nó béo quá . Miếng gà trong hambuger to ghê luôn . Ăn miếng đó vào là no rồi chứ không cần phải ăn thêm gì",4
56,"Không biết có còn ai chưa bắt kịp khuyến mãi tháng này của KFC chưa nhỉ ? kFC đang có khuyến mãi hôm nay thứ mấy với gói mua gà quay tiêu 75k sẽ được mua phần gà rán kèm pepsi vưaf vs giá 20k ngày thứ 2 , 30k ngày thứ 3 , 40k thưs 4 , 50k thứ 5 , 60k thứ 6 và 70k thứ 7 . Không áp dụng cho chủ nhật nhé . Mình đi ăn 2 người và hay đi thứ 2 . Mua nhiêu đây tầm 95k mà ăn no cả bụng luôn . Bỏ lại khá nhiều vì ăn không hết",3
57,"Không gian thoáng đãng, đẹp, nằm ngay trong siêu thị coopmart nên tạo nhiều điều kiện thuận lợi cho người mua cũng như người bán. Đồ ăn ở đây cũng rất ngon, giá cả cũng phù hợp, phục vụ rất chu đáo và tận tình.",5
58,"Hôm nay thèm ăn gà nên tới KFC ăn ❤️
Lần nào tới ăn cũng ưng ý dễ sợ
Nhân viên lúc nào cũng tươi tỉnh , cười nói dễ chịu với khách hàng . 
KFC hay có nhiều chương trình khuyến mãi giảm giá hoặc tặng linh tinh
Thời gian đợi đồ ăn khá nhanh , lâu nhất chỉ tầm 10 , 15 phút thôi .
Mình thích cách phục vụ của KFC ở chỗ : khách tự lấy nước sốt cho bản thân , thích lấy bao nhiêu thì lấy chứ không như mấy chỗ khác mỗi lần hết là phải đi xin mắc mệt
Gà làm khá ngon , tuỳ những lúc sơ suất thì gà hơi còn sống và còn dầu ra thì tất cả oke hết
Sẽ đến ăn dài dài",4
59,"Hambuger ngon , gà giòn , khoai tây chiên ngon . Trừ khoai tây nghiền ra vì hơi khó ăn",4
60,"Ở Qui Nhơn , nhắc tới gà rán là mình nghĩ ngay đến KfC Lê Duẫn đầu tiên , nếu đến nơi đông khách hoặc đóng cửa thì mình sẽ lết đến Lotteria trong Big C , còn Jollibe thì thôi rồi mình sẽ dành thgian RV cho Jollibe sau . KFC chi nhánh Qui Nhơn khá rộng rãi , mát mẻ , bàn ghế nhiều . Nhưng mỗi tội là kco nhà vệ sinh 😭😭 Nhân viên phục vụ nhiệt tình , nhanh . Gà rán giòn ngon tan ngay trong lần cắn đầu tiên , ngoại trừ những ngày khách đông hay trúng con gà k ngon thì sẽ bị rơi vào trạng thái gà nhiều dầu , gà có mỡ bên trong , thịt chưa chín . Kem ngon , rẻ chỉ 3k 1 cây . Nước coca kèm cho mỗi phần gà nhiều ơi là nhiều . Nước sốt ngon , tiện lơij , ăn bao nhiêu thì tự đi lấy bấy nhiêu , k phiền hà tới nhân viên . Bàn ghế , dụng cụ sạch sẽ . Quán hay có khuyến mãi ưu đãi cho khách . Quán tổ chức sinh nhật cho các bé rất dễ thương ❤️ Mong KfC sớm có wc , luôn ủng hộ dài dài 🍗🍟🍔",4
61,"Giá khá chát, dạo gần đây chất lượng tệ hơn.",3
62,Có rất nhiều khuyến mãi mỗi ngày cho thực khách. Gà nóng giòn ít dầu. Nhân viên vui vẻ. Không gian ấm cúng sạch sẽ. Thích hợp cho gia đình có trẻ con và tổ chức sinh nhật cho các em. Giá ổn. Mình thích nhất gà cay :D,4
63,"Đây có thể nói là thương hiệu thức ăn nhanh đầu tiên tấn công Qui Nhơn, lại mở sát ngay Coop mart nơi tập trung lượng khách đông đảo nên giới trẻ chọn KFC làm điểm tập kết rất đông. Tuy nhiên chất lượng thì không có gì nổi trội, mang đặc điểm chung của gà rán là nhiều dầu mỡ và rất mau ngán. Hai đứa em họ 5 và 10 tuổi của mình rất thích ăn gà những ko hiểu sao lại chả buồn đụng đến mấy miếng gà mình mua về từ đây. Nói chung là để dân QN ăn cho zui đổi gió là chính.",3
64,"Quán siêu rộng, tận 3 tầng. Tầng trên cùng là chuyên ăn đồ nướng, với view thoáng nhìn ra được Quảng trường. Ở đây có thể gọi theo buffet giá nhiều loại 189k/người, set 289k và 389k, 489k thì có thêm nhiều loại thịt và hải sản hơn. Ngoài ra còn có combo vip giá 1.289.000 gồn có bò wagyu, tôm hùm, cá hồi na uy, sò điệp, cua tuyết, hàu nhật... đồ ăn miễn phí cho buffet là lẩu hải sản cơm trộn thố đá salad cá hồi kim chi khoai tây kén rau củ quả và các loại maki.",4
