 ,Review,giai_tri
14,"Mình vô quán lúc 11h30, Mình order 2 chén súp tóc tiên và 1kg cua gạch (khoảng 2 con), súp mất khoảng 15p hơn mới đem lên, cua thì mình đã chờ hơn nửa tiếng, giá lại rất chát... nhân viên chả ai take care cả, nói chuyện lớn tiếng, ăn trưa, mở nhạc... nói chung rất thất vọng :( (giá cua gạch là 490k/kg, tốm hùm rẻ nhất khoảng 1300/kg đến mắc nhất là 3100k/kg) (súp tóc tiên thịt cua là 60k/chén nhỏ như chén ăn cơm).... :(( :((",2
15,"Quên nói về thức ăn - kêu nhum gì mà thê thảm , không béo gì hết, chỉ 1 màng mỏng , ăn không cảm nhận được gì luôn , tôm mũ ni giá 2 tr2 /kg vậy mà lúc chế biến không hề đem lên cho khách xem, lúc order thì pv nói 1 con chỉ khoảng mấy lạng cuối cùng tính tiền 1 con gần cả ký lô- - Nói chung tránh xa quán này ra",2
16,"Lần trước di thấy ok nhưng lần đến Qui Nhơn ghé lần nữa thì thất vọng hẳn - Nhân viên phịc vụ chậm chạp , kêu món ăn xong dọn được vài món thì ngưng luôn , để ngồi ngó nhau chơi, nhắc hai ba lần mới bưng tiếp lên 1 món rồi lại ngưng - Thắc mắc thì trả treo, nói 1 tiếng cãi 1 tiếng ( nhân viên nam tròn tròn ) - Bực bội gì đâu - Thái dfooj phục vụ như vậy thì chả bao giờ ghé nữa",2
17,"Thời gian công tác ở Qui Nhơn được ghé nhà hàng này nhiều lần. Nói chung là không gian quán thoáng đãng , rộng rãi và mát mẻ . Nhân viên phục vụ nhanh nhẹn , thân thiện với khách hàng . Thời gian chế biến món ăn hơi lâu một tí nhưng bù lại được ăn ngon nên cũng đáng để chờ đợi. So với mặt bằng nhà hàng thì giá cả ở đây cũng không đắt lắm . Đồ ăn ở đây có nhiều món ngon lạ, cách chế biến cũng khá hấp dẫn . Ưng nhất là món hàu phô mai và súp khoai tây hải sản. Mem nào mê hải sản nhất định phải ghé đây ăn thử nà.",4
18,"Tìm mãi mới thấy có mỗi quán này bán hầu sống ở Qui Nhơn . Nói chung là mặt bàn quán khá to , rộng rãi và mát mẻ . Nhân viên phục vụ nhanh nhẹn , dễ chịu với khách hàng . Thời gian đợi chế biến món ăn hơi lâu một tí nhưng bù lại được ăn ngon cũng đáng . Giá cả ở đây cũng không đắt lắm . Đồ ăn ở đây có nhiều món lạ và chế biến khá hấp dẫn . Mình đến đây hay ăn hầu sống với các loại hải sản nướng . Cực kì ngon luôn",4
19,"Hải sản tươi, ngon, chắc nịch và nhiều đồ lạ. Lần đầu ăn con nhum to khủng bố thế. Sìa vừa to vừa ngọt. Giá cả quá rẻ so với 1 quán cỡ nhà hàng. Đĩa bào ngư có trăm mà to nhiều phát sợ. Thích nhất là sự chuyên nghiệp của nhân viên. Đông kinh khủng mà ko bỏ sót ai. Mình hỏi nhà vệ sinh ở đâu còn nhìn theo thấy mình vào đúng nơi mới quay làm việc khác. Cô chủ quán nhiệt tình giới thiệu, chu đáo và đáng yêu",5
20,"Hải sản ở Quy Nhơn vốn đã khá tươi và nhiều loại lạ đa dạng rồi. Quán khá lớn, rộng rãi và thoáng đãng. Nhân viên phục vụ lịch sự, lễ phép nhưng hơi chậm chạp. Nhà mình đi ăn có 1 lô lốc lít nhít trẻ con không ăn nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi là lâu. Đến khi mâm người lớn phải ăn nhậu được nửa bữa rồi mới thấy mâm trẻ con được vào ăn. Đồ ăn mặt bằng chung chế biến ổn, có món ăn rất lạ miệng.",4
21,"Hôm nay, tôi gọi phòng vip họp mặt bạn!!! Khi nói chuyện với nhân viên đặt phòng. Mới hỏi một câu thi lại đáp một câu, ko biết tôn trọng khách hàng!!! Tôi khuyến cáo mọi người ko nên tới nhà hàng nay! Cho dù thức ăn ngòn mài cách phục vụ thế này ko chấp nhận được😠😠😠",2
22,"Rất phù hợp với khách du lịch gia đình, nghỉ dưỡng:
- Đồ ăn rất ngon, hàng cao cấp cũng có: cua huỳnh đế sống (tùy hôm), ghẹ bự...
- Vị trí tốt, ngay mặt đường bờ biển, nội ngoại thất đẹp
- Nhân viên xinh xắn, phục vụ nhiệt tình
- Giá cả không phải bình dân, phù hợp gia đình du lịch nghỉ dưỡng",4
23,"Mình cùng gia đình tới đây ăn, tổng là khoảng hơn 20 người, ngồi phòng vip, uống ken, gọi cá, tôm, sò v.v..tá lả mà hết có hơn 4 triệu.
Món nào cũng ngon cả.
Thích các món salad rau càng cua, rất đậm đà, nhưng ko bị ướt.
Cá bớp nướng nghệ, 1 lát cá to bằng cái thớt, thịt cá chắc, ngọt da thì dai dai béo béo quá đã.
Ngoài ra có món lịch huyết um sả, ăn ngon ngậm mà nghe luôn.
Thêm một món lạ mà ở Đà Nẵng ko có là món cá ninja nướng ?!?!! Cá nướng xong như miếng sườn non, thịt dai, được tẩm ướp ngọt ngọt mặn mặn rất đậm đà, ở giữa thịt cá có 1 ống nhỏ nhỏ vừa như sụn vừa như tủy, ăn giòn giòn đã ghê ^_^",4
24,"Hôm qua đi vô quán.. Mang tiếng là nhà hàng mà từ phục vụ gửi xe đến phục vụ đồ ăn cung cách dở ở là dở... gửi xe thì ko có thẻ xe, lỡ mất thì chả bít nói ai.... nhân viên gửi xe mà bắt khách tự đi gửi tự dắt xe....mà con nạt nữa chứ... Nhân viên phục vụ thì ù lì chậm chạp.... hết đá thì phải đi xin mới cho, mà xin rồi cũng ngó lơ chứ chẳng cho, phải xin 2 3 lần mới được... phục vụ thua cả mấy quán bình dân ở sài gòn... 
Về đồ ăn thì quá dở, mang tiếng là xử biển mà mực thì khô queo, mực thì chả tươi tí nào, thua cả ở những vùng biển khác, không biết quán khác thì sao chứ nhà hàng này thì tệ... ăn hàu hay sò điệp nướng cảm nhận được cái to nhiều thịt nhưng lại ko ngọt... nêm nếm thì chả ngon, lạc nhưng giá mắc ngang ngửa sài gòn có khi hơn... nghĩ sao ăn cua mà 470k/1kg thì về sài gòn ăn còn rẻ hay đi chỗ khác.... thấy được khen ăn thử thất vọng, vừa thấy uổng số tiền bỏ ra nhưng mà ăn ko thấy ngon...mọi người nên cẩn thận khi đi vào... 1 lần và say goodbye em nó... ko có ghé lần 2 nữa đâu.....",2
25,"Nhà hàng nằm đối diện biển, khá rộng rãi, dân địa phương ăn nhiều, hải sản tươi ,chế biến rất vừa miệng. Nhà mình gọi món cơm chiên cua : cơm chiên khô ráo , ngon lắm, sò điệp nướng phomai , tươi , mềm chín tới vừa ăn, nhum nướng bơ tỏi, ốc nhảy đều OK - Giá cả không biết so với mấy chỗ khác ớ Qui Nhơn ra sao chứ so với Sài gòn thì quá rẻ - Ai du lịch đến Qui Nhơn nên ghé thử",4
26,"Quán rất sag trọg,ăn đồ ngon,tươi,làm chu đáo,nhân viên tận tìh",4
27,Có giao ở Phước Lộc không vậy?,2
28,"Đi dạo siêu thin xong, con em nó bắt phải vào ăn gà ở Jollibee cho bằng được. Tính ra cũng tiện. Mua sắm xong rồi ghé ăn trưa cũng ok. Mình đi ngày thường nên quán khá vắng khách. Nhân viên ở đây cũng dễ thương nè, nói chờ chút là có ngay liền phần cơm hai miếng gà bự. Mình không thích ăn gà rán loại này nên thấy bình thường, nhưng con em lụ đạn thì vừa aen vừa khen ngon, ly trà đào cũng được. Giá ở đây tương đối, không quá đắt, buổi trưa ăn ở đây ổn.",4
29,"Trời mưa đi ăn gà rán là ngon hết sẩy, gà ở đây không quá bột chiên rất là giòn , và gà rất là thơm. hôm nay tụi mình đi 5 đứa và mỗi đứa một cái đùi gà và một đĩa mì Ý , mì thì hơi cứng không được dai, giá cả thì khá là đắt thích hợp cho những người có điều kiện , không gian thì rộng và đẹp được trang trí rất là bắt mắt , mình đến vào dịp Noel nên được tặng một cái ly thủy tinh , sẽ đến nữa khi lúa của mình đầy túi",4
30,"Thương hiệu gà rán nào cũng có kem của mình, Jollibee cũng vậy.
Ăn gà rán xong thì ăn kem tráng miệng đi nè, kem béo béo thơm mùi sữa ăn thích ha, giá rẻ nữa, có mấy ngàn 1 cây to oạch, ăn 1 cây là no rồi.
Mà kem khá ngọt nên ai không thích ngọt thì sẽ nhanh ngán ấy.
Nói chung là với giá cả như vậy cho một cây kem như thế theo mình là hợp lí lắm rồi.
À mà Jollibee hay có các chương trình khuyến mãi lắm ấy, với hay có chú ong Jollibee hoạt náo trước tiệm nữa nên trẻ con thích lắm!",4
31,"Mặc dù người lớn hay dặn dò đừng ăn gà rán quá nhiều, đừng ăn đồ chiên dầu mỡ quá nhiều, nhưng liệu có mấy ai cưỡng lại được sức hấp dẫn của gà rán hay không? :v
Ở Quy Nhơn, ngày nào chán quá không biết ăn gì thì hẳn là sẽ đi ăn gà rán, mẹ không nấu cơm, cũng sẽ dắt em út đi ăn gà rán. Ăn gà rán ở đâu? Quy Nhơn có 4 thương hiệu gà rán luôn, nhưng em mình hay đòi ăn Jollibee nhất, tại nước chấm ở đây không cay, ở đây còn có mì Ý nữa. Jollibee có 2 tiệm, 1 là ở tầng 1 Kim Cúc Plaza và 1 ở Nguyễn Huệ, gần ngay Nice Cafe ấy.
Cá nhân mình thấy gà rán ở đây ngon mà, nước chấm ngọt ngọt chua và ít cay nên dễ ăn ^^",4
32,"Món ăn ở đây rất ngon. Gà rán hay gà nướng các loại đều rất hợp vị, gà rán giòn,không bị bở. Đặt biệt gà phô mai nhiều, phômai thơm, béo lắm luôn. Ngoài ra ở đây còn có bán các loại nước trái cây, cf , soda các loại. Và cách phục vụ của các bạn nhân viên, niềm nở, chu đáo, nhiệt tình và lễ phép với khách 
Hôm rồi mình đi sinh nhật cháu gái tại jollibee, cảm thấy rất thích không gian ở đây .Phù hợp để tổ chức sinh nhật, hội nhóm bạn bè 😍",4
33,"Lang thang tại kim cúc plaza với thèn bạn thì thấy đói bụng quá liền ghé vào jollibee ở đây ăn thử. Ở trong này người ta chuộng jollibee hơn lotte hay kfc thì phải. Thấy khá đông. Về chất lượng thì món ăn của jollibee có mùi vị rất khác và đặc trưng. Khoai tây thì ko ngon bằng, nhưng kem thì cực ngon. Ngon hơn và lâu chảy hơn :3 mỳ ý ăn khá vừa miệng, gà giòn thì bột giòn nhiều, nhưng mình thấy gà lotte ngon hơn. Có điều gà sốt cay bên này ăn cực khoái luôn, rất đáng để thử !!!",4
34,"Mình đến jollibee chỉ để ăn kem các cậu ạ 😂 
Quán rộng nhưng bố trí khá chật hẹp, gây cảm giác bị bàn khác soi khi ăn luôn ấy :(((. Còn về phần phục vụ thì có vẻ khá chậm chạp. Dao nĩa thì khá ít. Một lần đi lấy rất rất bực luôn đấy -.- thức ăn ( trừ món kem) thua xa Kfc và Lotte. Nhưng điểm cộng là món ăn phong phú hơn và món kém khá ngon. ❤️",4
35,"Jollibee - mình đến đây ở đây chỉ vào những dịp có khuyến mãi . Vì không gian ở đây rộng nhưng bố trí bàn ghế chật hẹp , nóng nực , khó chịu . Nhân viên phục vụ chậm chạp . Joli không như những quán gà rán khác , mỗi lần lấy tương là phải đi xin nhân viên khổ sở và rất lâu - tương không ngon , mùi hăng khó ngửi . Dụng cụ dao , nỉa rất ít . Khi đi lấy thì mới vừa rửa xong , còn ướt và có mùi nước rửa chén . Gà quá nhiều thịt , bên trong còn dầu khá ngán . Khoai tây chiên bào sợi nhỏ nên mau bị mềm . Nước coca đi kèm ít . Cơm khô , rời rạc , không thơm . Joli được mỗi cái kem ngon hơn KFC và Lotte , kem có mùi sữa , thơm , béo . Giá cả ở đây đắt hơn Lotte . Nhưng thu hút được nhiều em nhỏ vì ở đây có chú ong vui nhộn , đến ăn và chụp hình rất dễ thương . Sẽ đến quán với những dịp khuyến mãi ❤️",4
36,"Đồ ăn bình thường, nước sốt không được ngon, mỗi lần đi lấy dao nĩa phát mệt. Đươc cái kem ngon hơn ở lotte nhiều",3
37,"Thật sự thì cách bài trí cũng như thức ăn , uống ở đây k bằng lotte. Lotte ở ngay kế bên ăn ngon hơn, quán lotte cũng đông khách hơn.",2
38,"Mình không có cảm tình với chỗ này lắm dù không gian trang trí được, có nhiều chương trình hoạt náo hơn Lotteria hay KFC,... Thức ăn giá ngang với các chỗ khác nhưng chất lượng không bằng. Kem cũng tệ hơn nhiều nữa.",2
39,"Đầu tiên đi vào thấy cái thang máy cũ kĩ tồi tàng là phát chát, lên được tầng starlight thì không gian rất nhàm chán, màu sắc đơn giản k có điêm nhấn. Ghế ngồi thì bẩn, cũ, gãy, phòng chiếu có mùi ẩm mốc. Giá vé mình mua là 45k/1 vé nhưng ở gia lai với 45k mình nhận được chất lượng rất tốt với rạp touch cinema, mình cũng đã đi thử starlight ở gia lai và cũng thấy thất vọng, nghĩ sao tới h chiếu nhân viên kêu rạp chưa dọn xong bắt khách đợi 20p, chưa kể thang máy lên phòng chiếu k bật để khách leo bộ. Mình sẽ k ghé starligh dù bất kì chi nhánh nào nữa!",0
40,"Ở Quy Nhơn, mình thấy có rạp này ok , có chi âm thanh hơi vọng chút, nhưng màn hình, ghế các kiểu khá ok , máy lạnh phù hợp với không khí phim , cảm thấy hài lòng về khoản này nè. Có chương trình khuyến mãi hàng tuần khá ok, như thứ 3 vui vẻ, giá hạt dẻ hơn, nên sinh diên lựa mấy ngày này đi cho hạp lý nè",4
41,"Ở Thành Phố biển đang trên đà phát triển này đang rất cần những dịch vụ giải trí như thế này. Rạp phim này mới mở cũng gần 1 năm thôi nhưng có rất nhiều fan trung thành ở đây, bởi starlight là rạp rộng nhất và có nhiều rạp nhất ở Thành phố biển này. Ở đây cập nhật phim kha slaf nhanh nên không bị bỏ lở những phim hay mới công chiếu. View ở đây khỏi phải bàn, có nhiều view đẹp cho dân nghiện chụp hình như mình. Minh đánh giá rất cao cho rạp phim starlight, 1 rạp tuyệt vời để giải street. <3 <3 Hẹn gặp lại 1 dịp gần nhất.",5
42,"Một môi trường quá văn minh, sân chơi lý tưởng để các con phát triển!",5
43,Điểm đên và nơi gặp gở bạn bè lâu năm. Nơi lý tưởng coá khu vui chơi giành cho tre em,5
44,"Quán sang trọng , phục vụ chu đáo , âm thanh ok , có phòng vip 2 màn hình lớn sống động , có bảng chọn bài điẹn tử hiện đại , quán cũng tiện nữa , nằm ngay trung tâm thành phố",4
45,"Không gian tầng trệt khá chật chội, bàn ghế xếp sát nhau, đã cũ, toàn bật nhạc sàn, phục vụ hơi chậm. Tầng trên thoáng hơn nhiều với không gian mở.",2
46,"Quán karaoke nằm ngay trung tâm thị trấn, dễ tìm
Quán trang trí đẹp, phòng ốc sạch sẽ, rộng rãi
Thức ăn, đồ uống phục vụ nhanh nhẹn, giá cả phải chăng",4
47,Quán ngày 27 này mới khai trương.Nhưng mình may mắn có cơ hội vào chỗ này trước. Quán rất đẹp và hiện đại nhất Quy Nhơn. Mỗi phòng là mỗi kiểu thiết kế riêng. Không giống phòng nào với phòng nào cả. Có phòng ánh sáng sẽ chớp và chạy theo tiếng nhac và tiếng vỗ tay nữa rất đẹp. Với phòng hiện đại mà giá từ 120 tới 280 mình thấy rất hợp lí và rẻ nữa. Dự là chỗ này sẽ hot nhất Quy nhơn vào dịp lễ 30-4 này,4
48,"Quy nhơn mọc lên nhiều cái quán karaoke mới nhưng mình vẫn thích nhất quán karaoke MTV này. Mình đã hát quán này hồi xưa giờ. Phòng óc luôn nâng cấp hiện đại theo xu hướng, hát lại hay nữa. Mà nhất là giá rất bình dân. Nhân viên phục vụ chu đáo nữa. Nói chung cái gì cũng ok hết.các bạn sẽ không hối hận khi hát chỗ này đâu nhá",4
49,"Kết cái khoản âm thanh của quán , nhạc êm và vừa phải , k bị ré như nhiều quán khác , thường xuyên cập nhật bài mới nữa , đèn đuốc trong quán thì khỏi chê , ta nói là quẩy y bài luôn , nếu có dịp sẽ quay lại",4
50,"Giá thành hợp lý, nước uống ngon cực, karaoke âm thanh chất lượng tốt, giá cả cực hot",4
51,"Mình chưa bao giờ bức xúc thế này,mặc dù không đáng bao nhiêu,nên mình không muốn đôi co,nhất là khi mình đi xuống thấy 3,4 người đàn ông xăm trổ ngồi nên thấy ớn quá. Quán cũng bình thường,mic thì nặng,hát không nổi,bài toàn cũ không cập nhạc mới,không gian chật quá,mà những 120k 1 tiếng. Bọn mình đi nhậu bên ngoài rồi mới vào chỉ có 6 người thôi, nên ít uống thêm,chủ yếu là hát. Nhưng lúc tính tiền lại bơm thêm 2 chai nước suối chỉ có duy nhất mình uống 1 chai nước suối nên mình biết và tăng thêm 1/3 số bia. Mình không uống ly bia nào nên vô cùng tỉnh táo,lần sau mình và công ty mình sẽ không bao giờ quay lại.",2
